NO_OF_FRAMES	5618
NO_OF_CAMERAS	13
NO_OF_MARKERS	6
FREQUENCY	120
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2025-10-10, 15:47:17.423	14041227.18119250
DATA_INCLUDED	3D
MARKER_NAMES	hand	R wrist	L wrist	R elbow	L elbow	
TRAJECTORY_TYPES	Mixed	Measured	Measured	Mixed	Measured	Mixed
hand X	hand Y	hand Z	R wrist X	R wrist Y	R wrist Z	L wrist X	L wrist Y	L wrist Z	R elbow X	R elbow Y	R elbow Z	L elbow X	L elbow Y	L elbow Z	 X	 Y	 Z	
251.464	194.789	62.754	0.000	0.000	0.000	0.000	0.000	0.000	-14.296	-33.818	18.307	-17.043	-32.173	97.563	173.151	-225.050	-10.666
251.447	194.786	62.753	0.000	0.000	0.000	0.000	0.000	0.000	-14.301	-33.833	18.306	-17.049	-32.171	97.565	173.159	-225.059	-10.674
251.453	194.782	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.300	-33.834	18.313	-17.052	-32.176	97.558	173.163	-225.060	-10.663
251.436	194.778	62.768	0.000	0.000	0.000	0.000	0.000	0.000	-14.307	-33.840	18.306	-17.053	-32.178	97.566	173.157	-225.058	-10.663
251.436	194.778	62.767	0.000	0.000	0.000	0.000	0.000	0.000	-14.312	-33.855	18.303	-17.059	-32.179	97.576	173.163	-225.060	-10.663
251.436	194.777	62.777	0.000	0.000	0.000	0.000	0.000	0.000	-14.317	-33.850	18.314	-17.063	-32.184	97.582	173.158	-225.059	-10.673
251.428	194.781	62.775	0.000	0.000	0.000	0.000	0.000	0.000	-14.320	-33.858	18.317	-17.069	-32.186	97.583	173.158	-225.058	-10.673
251.427	194.782	62.773	0.000	0.000	0.000	0.000	0.000	0.000	-14.331	-33.857	18.322	-17.075	-32.186	97.587	173.153	-225.050	-10.675
251.409	194.778	62.780	0.000	0.000	0.000	0.000	0.000	0.000	-14.331	-33.857	18.321	-17.080	-32.184	97.586	173.146	-225.048	-10.675
251.418	194.774	62.782	0.000	0.000	0.000	0.000	0.000	0.000	-14.331	-33.857	18.321	-17.083	-32.187	97.579	173.158	-225.058	-10.672
251.418	194.774	62.782	0.000	0.000	0.000	0.000	0.000	0.000	-14.328	-33.867	18.310	-17.084	-32.191	97.580	173.156	-225.057	-10.662
251.417	194.774	62.790	0.000	0.000	0.000	0.000	0.000	0.000	-14.319	-33.871	18.304	-17.080	-32.190	97.573	173.146	-225.047	-10.674
251.417	194.775	62.780	0.000	0.000	0.000	0.000	0.000	0.000	-14.317	-33.871	18.300	-17.085	-32.193	97.569	173.148	-225.048	-10.685
251.419	194.775	62.772	0.000	0.000	0.000	0.000	0.000	0.000	-14.309	-33.879	18.294	-17.085	-32.192	97.565	173.142	-225.057	-10.685
251.420	194.775	62.763	0.000	0.000	0.000	0.000	0.000	0.000	-14.310	-33.882	18.288	-17.087	-32.195	97.549	173.154	-225.056	-10.682
251.411	194.779	62.760	0.000	0.000	0.000	0.000	0.000	0.000	-14.313	-33.876	18.274	-17.092	-32.192	97.538	173.158	-225.057	-10.672
251.409	194.769	62.760	0.000	0.000	0.000	0.000	0.000	0.000	-14.310	-33.883	18.258	-17.096	-32.191	97.529	173.154	-225.056	-10.682
251.419	194.775	62.761	0.000	0.000	0.000	0.000	0.000	0.000	-14.322	-33.883	18.251	-17.101	-32.195	97.511	173.154	-225.056	-10.682
251.409	194.769	62.759	0.000	0.000	0.000	0.000	0.000	0.000	-14.322	-33.884	18.232	-17.107	-32.204	97.497	173.154	-225.056	-10.681
251.419	194.775	62.770	0.000	0.000	0.000	0.000	0.000	0.000	-14.327	-33.881	18.217	-17.120	-32.201	97.477	173.146	-225.057	-10.674
251.417	194.765	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.331	-33.871	18.202	-17.131	-32.205	97.461	173.154	-225.055	-10.681
251.418	194.765	62.769	0.000	0.000	0.000	0.000	0.000	0.000	-14.331	-33.872	18.183	-17.131	-32.203	97.444	173.158	-225.056	-10.671
251.419	194.765	62.761	0.000	0.000	0.000	0.000	0.000	0.000	-14.335	-33.882	18.167	-17.136	-32.206	97.434	173.158	-225.056	-10.671
251.409	194.758	62.759	0.000	0.000	0.000	0.000	0.000	0.000	-14.349	-33.876	18.149	-17.144	-32.207	97.416	173.158	-225.056	-10.671
251.408	194.758	62.767	0.000	0.000	0.000	0.000	0.000	0.000	-14.347	-33.879	18.124	-17.151	-32.210	97.395	173.158	-225.056	-10.671
251.400	194.762	62.766	0.000	0.000	0.000	0.000	0.000	0.000	-14.359	-33.885	18.105	-17.157	-32.218	97.381	173.140	-225.048	-10.676
251.400	194.762	62.766	0.000	0.000	0.000	0.000	0.000	0.000	-14.359	-33.881	18.088	-17.162	-32.229	97.367	173.140	-225.047	-10.676
251.392	194.755	62.765	0.000	0.000	0.000	0.000	0.000	0.000	-14.364	-33.892	18.070	-17.164	-32.234	97.350	173.152	-225.047	-10.673
251.387	194.745	62.781	0.000	0.000	0.000	0.000	0.000	0.000	-14.365	-33.913	18.049	-17.168	-32.242	97.344	173.152	-225.046	-10.672
251.379	194.739	62.771	0.000	0.000	0.000	0.000	0.000	0.000	-14.361	-33.915	18.037	-17.172	-32.251	97.336	173.144	-225.048	-10.665
251.398	194.741	62.775	0.000	0.000	0.000	0.000	0.000	0.000	-14.357	-33.922	18.035	-17.172	-32.254	97.339	173.156	-225.047	-10.662
